1,Katherine,Gibson,9677
2,Jerry,Palmer,15980
3,Sarah,Griffin,18529
4,Anna,Anderson,4774
5,Barbara,Parker,15335
6,Walter,Snyder,13732
7,Debra,Roberts,17403
8,Jerry,Jones,5774
9,Christina,Jackson,19243
10,Mark,Morris,2407
11,Julie,White,4572
12,Louis,Watson,13831
13,Paula,Stone,19717
14,Terry,Dixon,2426
15,Evelyn,Dunn,7562
16,Janet,Robinson,13015
17,Bobby,Nelson,6793
18,Peter,Davis,1474
19,Diana,Turner,15500
20,Michael,Evans,18688
21,Stephanie,Warren,15185
22,Thomas,Alexander,2411
23,Kevin,Collins,2332
24,Janice,Torres,9188
25,Jacqueline,Welch,13331
26,Billy,Patterson,13768
27,Patricia,Taylor,8214
28,Lillian,Roberts,14914
29,Brian,Wood,9589
30,Scott,Burke,5251
31,Rebecca,Diaz,6344
32,Lois,Wells,2459
33,Larry,Willis,12888
34,Robin,Sims,299
35,Louise,Mccoy,9983
36,Antonio,Gilbert,660
37,Earl,Henderson,16653
38,Catherine,Knight,17651
39,Lois,Freeman,2884
40,Anne,Stephens,8719
41,Heather,Hawkins,2029
42,Richard,Hunt,8891
43,Keith,Johnson,4278
44,Angela,Williams,600
45,Angela,Porter,3397
46,Charles,Ramirez,11300
47,Howard,Harris,11109
48,Annie,Rivera,7964
49,Shawn,Reed,16597
50,Russell,Green,2829
51,Jose,Howell,6432
52,Henry,West,8412
53,Russell,Frazier,7721
54,Jane,Sims,10631
55,Judith,Carpenter,14312
56,Phillip,Brooks,14819
57,Jack,Garcia,5610
58,Douglas,Mcdonald,554
59,Daniel,Greene,6708
60,Janice,Owens,19159
61,Jessica,Thomas,13444
62,Sandra,Garrett,6759
63,Kelly,Allen,7866
64,Michael,James,11000
65,Johnny,Woods,7809
66,Phyllis,Taylor,4666
67,Gary,Reed,18785
68,Samuel,Johnson,10990
69,Steve,Olson,524
70,Jose,Henderson,15771
71,Ruth,White,6635
72,Linda,Mendoza,15369
73,Lori,Mccoy,8529
74,Christina,Torres,14516
75,Ashley,Hall,18990
76,Margaret,Fields,8129
77,Harold,Alexander,12114
78,Jean,Allen,46
79,Mildred,Hicks,18729
80,Jesse,Kennedy,17379
81,Juan,Fuller,17991
82,Joshua,Dixon,17695
83,Linda,Ramirez,16820
84,Joe,Rivera,5462
85,Jacqueline,Ryan,11494
86,Ernest,Flores,13600
87,Amanda,Brooks,4263
88,Karen,Howard,4101
89,Joshua,Grant,17710
90,Ralph,Porter,19677
91,Benjamin,Moore,4516
92,Juan,Ortiz,6616
93,Johnny,Carroll,662
94,Tammy,Marshall,8061
95,Kevin,Bennett,14515
96,Matthew,Long,660
97,Catherine,Black,15372
98,Marilyn,Jackson,10298
99,Billy,Bell,507
100,Emily,Simpson,5303
101,Lillian,Turner,13255
102,Elizabeth,Payne,15524
103,Amy,Grant,9252
104,Judith,Wagner,11852
105,Larry,Owens,3497
106,Clarence,Torres,14428
107,Adam,West,12765
108,Randy,Webb,17634
109,Joseph,Young,11433
110,Laura,Anderson,6882
111,Adam,Campbell,2988
112,Louise,White,16251
113,Nancy,Johnston,15450
114,Christopher,Murphy,16546
115,Michael,Henry,15755
116,David,Morgan,670
117,Jennifer,Roberts,312
118,Donald,Edwards,3968
119,Julie,Johnson,12328
120,Sara,Sanders,4826
121,Sandra,Sullivan,3813
122,Christine,Mendoza,4570
123,Lisa,Rogers,9878
124,Deborah,Oliver,8852
125,Willie,Miller,10533
126,Michelle,Brooks,13816
127,Andrew,Wood,17575
128,Stephen,Campbell,17153
129,Mark,Allen,81
130,Rose,Washington,675
131,Ronald,Kelley,6583
